Problem,TS-Ei-LM,SA-Ei-LM,TSL-Ei-LM,SAL-Ei-LM,TS-Si-LM,SA-Si-LM,TSL-Si-LM,SAL-Si-LM
100_2_4_173,7.1,5.4,7.05,5.05,4.2,1.55,3.6,2.05
100_2_6_187,7.3,3.3,7.4,3.8,5.45,2.1,4.8,1.85
100_4_2_203,4.9,4.55,6.3,5.55,3.4,3.95,1.7,5.65
100_4_4_216,3.95,3.25,2.55,2.4,3.85,7.6,5.0,7.4
100_4_6_225,3.8,1.45,3.8,1.75,5.2,7.4,5.0,7.6
100_4_8_240,3.6,1.5,3.85,1.7,4.9,7.5,5.45,7.5
150_6_4_416,4.6,1.3,4.3,1.8,4.1,7.4,4.9,7.6
150_8_2_444,5.25,4.9,5.05,6.7,1.6,5.75,1.4,5.35
150_8_6_466,4.95,2.9,5.05,4.5,1.6,7.4,2.0,7.6
200_6_4_575,5.05,2.4,4.35,3.4,2.8,7.6,3.0,7.4
200_6_8_595,4.5,3.3,5.4,2.2,3.3,7.5,2.3,7.5
250_6_2_721,5.4,8.0,5.2,7.0,1.9,4.0,1.2,3.3
250_8_2_764,5.5,7.5,5.5,7.5,1.7,3.6,1.95,2.75
250_8_6_782,5.1,8.0,5.3,7.0,1.7,3.8,1.9,3.2
300_2_2_806,6.15,4.9,6.2,4.0,3.4,3.8,3.25,4.3
300_4_4_860,3.8,2.2,4.9,2.0,3.8,7.5,4.4,7.4
300_6_4_897,5.4,8.0,5.6,7.0,1.7,3.5,1.3,3.5
300_6_6_907,4.7,8.0,4.6,7.0,2.0,3.9,1.6,4.2
50_2_2_1,6.15,7.0,5.9,6.7,2.15,3.25,2.45,2.4
50_2_2_2,6.45,6.1,7.15,5.8,2.2,3.05,2.15,3.1
50_2_4_11,7.5,5.15,7.3,5.1,3.5,1.95,3.7,1.8
50_2_4_12,7.15,5.0,7.6,5.25,2.9,2.3,3.75,2.05
50_2_6_21,7.25,4.0,7.65,4.95,4.45,1.85,3.8,2.05
50_2_6_22,7.3,4.85,7.5,4.7,3.85,1.8,4.7,1.3
50_2_8_31,7.3,3.85,7.7,5.0,4.5,1.45,4.5,1.7
50_2_8_32,7.6,3.75,7.4,4.25,5.1,1.4,4.8,1.7
50_4_2_41,6.35,5.0,7.2,6.55,2.1,2.9,2.85,3.05
50_4_2_42,6.45,6.1,6.65,5.4,2.5,2.6,2.95,3.35
50_4_4_51,7.0,4.3,7.2,4.2,4.65,2.35,4.25,2.05
50_4_4_52,5.35,4.35,7.15,6.1,2.5,3.35,3.35,3.85
50_4_6_61,6.7,4.65,7.4,2.75,4.7,1.75,5.45,2.6
50_4_6_62,6.9,3.65,5.6,3.95,4.8,2.5,5.1,3.5
50_4_8_71,6.3,2.75,7.3,2.1,5.15,3.45,5.45,3.5
50_4_8_72,6.0,1.65,6.4,3.6,6.0,2.95,6.2,3.2
50_6_2_81,6.85,5.05,5.1,5.95,2.3,3.75,2.8,4.2
50_6_2_82,5.7,6.5,4.75,4.35,2.0,5.25,2.3,5.15
50_6_4_91,3.7,2.8,3.6,2.7,3.45,7.3,4.75,7.7
50_6_4_92,4.35,3.05,3.95,2.05,3.0,7.4,4.6,7.6
50_6_6_102,3.7,2.85,3.5,1.85,4.8,7.3,4.3,7.7
50_6_6_103,4.4,2.85,2.85,2.5,4.45,7.75,3.95,7.25
50_6_8_111,3.0,2.6,3.05,2.4,5.7,7.6,4.25,7.4
50_6_8_112,2.2,2.45,3.75,1.8,5.45,7.9,5.35,7.1
50_8_2_122,4.2,4.95,4.9,3.85,2.55,6.25,2.15,7.15
50_8_2_123,4.55,3.45,5.05,4.9,2.1,7.3,1.8,6.85
50_8_4_131,2.3,3.2,3.7,2.6,4.5,7.8,4.7,7.2
50_8_4_132,3.7,3.95,4.1,2.15,2.8,7.4,4.3,7.6
50_8_6_141,3.0,2.55,3.0,2.8,5.05,8.0,4.6,7.0
50_8_6_142,2.65,2.9,3.15,2.6,4.2,7.7,5.5,7.3
50_8_8_153,3.2,2.15,3.0,2.7,5.2,8.0,4.75,7.0
50_8_8_154,3.0,2.35,3.75,1.8,4.9,8.0,5.2,7.0
